日付け,終値,始値,高値,安値,出来高(M),変化率(%)
2022-05-09,1.2194185367562096,1.230225205222978,1.215026801083196,1.193375898730487,0.3701398516735616,0
2022-05-10,1.2253650789154489,1.2183664349240348,1.2189447542355007,1.2432913582510032,-0.1672592311424932,1
2022-05-11,1.2174363560364634,1.234178128655959,1.220903730811653,1.2432913582510032,-0.4090248803867774,0
2022-05-12,1.1559887537243294,1.208484126341582,1.1895601055932166,1.1813961884455633,0.3781321045411413,0
2022-05-13,1.1718461994822995,1.1472138131303744,1.152339550646323,1.1674198597798189,-0.1825244341195702,1
2022-05-16,1.1896858259600156,1.1689548920117705,1.1817241992886074,1.1993657538729492,-0.3861670371854996,1
2022-05-17,1.1797749223612843,1.1570961217128273,1.1660523866793888,1.1873860435880257,-0.5480900802826632,0
2022-05-18,1.2531156089918964,1.2045312029086004,1.2287396371162622,1.2313116479660795,0.2190063499476307,1
2022-05-19,1.2511334282721502,1.224295820073506,1.2189447542355007,1.2373015031085417,-0.3542779482438568,0
2022-05-20,1.2531156089918964,1.2460368989549029,1.2326575902685666,1.2612609236783892,-0.2103374740987476,1
2022-05-23,1.272937416189359,1.2559192075373558,1.242452473149328,1.279230489105775,-0.4843918249280534,1
2022-05-24,1.2828483197880904,1.2796367481352424,1.2659601920631556,1.2991966729139817,-0.5485696154547179,1
2022-05-25,1.3145632113040304,1.2914955184341856,1.291426887553135,1.3071831464372643,-0.231357099140482,1
2022-05-26,1.358171187138448,1.3191659824650537,1.3247294893477242,1.3471155140536772,-0.2978526429987445,1
2022-05-27,1.3403315606607322,1.368577525377318,1.3521551614138556,1.3551019875769594,-0.1459199159860556,0
2022-05-30,1.3363671992212394,1.3428835230629403,1.3247294893477242,1.3331391853879324,2.1751901618164236,0
2022-05-31,1.272937416189359,1.3349776761969785,1.316893583043115,1.2991966729139817,2.029251624454419,0
2022-06-01,1.328438476342254,1.2914955184341856,1.2933858641292872,1.3151696199605465,-0.3450868574461402,1
2022-06-02,1.296723584826314,1.3112601355990914,1.2855499578246783,1.3031899096756228,-0.5121249423785548,0
2022-06-03,1.270955235469613,1.2875425950012047,1.26987814521546,1.279230489105775,-0.4123816265911609,0
2022-06-06,1.2868126812275826,1.2796367481352424,1.2581242857585464,1.2892135810098784,-0.6799622525977272,1
2022-06-07,1.2828483197880904,1.2914955184341856,1.2620422389108508,1.29520343615234,-0.5203569628321618,0
2022-06-08,1.3066344884250454,1.2816132098517328,1.2718371217916122,1.297200054533161,-0.2885816296723522,1
2022-06-09,1.2828483197880904,1.3112601355990914,1.2875089344008306,1.3031899096756228,-0.2836264328944528,0
2022-06-10,1.296723584826314,1.259872130970337,1.2796730280962214,1.2832237258674162,-0.1005239196982032,1
2022-06-13,1.296723584826314,1.259872130970337,1.267919168639308,1.291210199390699,-0.5804587043963606,0
2022-06-14,1.241222524673419,1.2480133606713937,1.2385345199970237,1.2532744501551063,-0.2062614251362818,0
2022-06-15,1.205543271717986,1.2163899732075445,1.22678066054011,1.2313116479660795,-0.2375111338485184,0
2022-06-16,1.237258163233926,1.1847665857436949,1.2228627073878051,1.215338700919514,-0.4899864019353592,1
2022-06-17,1.1936501873995085,1.2104605880580723,1.199354988473978,1.2033589906345905,0.109352640604438,0
2022-06-20,1.2095076331574783,1.1650019685787891,1.1876011290170645,1.1913792803496666,-0.4544208766746297,1
2022-06-21,1.2134719945969712,1.208484126341582,1.193478058745521,1.2193319376811558,-0.4158982178528959,1
2022-06-22,1.2927592233868217,1.2203428966405252,1.2600832623346987,1.2492812133934654,-0.0632000988066064,1
2022-06-23,1.332402837781747,1.2994013653001482,1.3070987001623535,1.3271493302454709,-0.2803496092187452,1
2022-06-24,1.3046523077052992,1.3389305996299594,1.3090576767385056,1.287216962629058,-0.2094583262833137,0
2022-06-27,1.2550977897116429,1.259872130970337,1.2542063326062416,1.255271068535927,-0.0707128165021312,0
2022-06-28,1.3185275727435228,1.2737073629857705,1.3031807470100485,1.29520343615234,-0.0067747935614941,1
2022-06-29,1.2828483197880904,1.3152130590320728,1.2894679109769829,1.291210199390699,2.123480285763183,0
2022-06-30,1.2610443318708815,1.2559192075373558,1.2600832623346987,1.287216962629058,-0.1036408983165594,0
2022-07-01,1.2531156089918964,1.2875425950012047,1.2620422389108508,1.2592643052975687,-0.4282862097976443,0
2022-07-04,1.2749195969091052,1.244060437238412,1.242452473149328,1.269247397201672,-0.7036992436144387,1
2022-07-05,1.2630265125906277,1.27173090126928,1.24441144972548,1.2832237258674162,-0.4550602569040361,0
